# b_parallel b_perpendicular x y z 
1.000000000000000000e+02 0.000000000000000000e+00 -3.656030000000000113e-01 -8.671099999999999641e-02 -9.267229999999999634e-01
1.000000000000000000e+02 0.000000000000000000e+00 8.840799999999999770e-01 -3.522000000000000131e-01 3.071769999999999778e-01
1.000000000000000000e+02 0.000000000000000000e+00 1.573960000000000081e-01 -9.103350000000000053e-01 3.827740000000000031e-01
1.000000000000000000e+02 0.000000000000000000e+00 4.311499999999999777e-01 3.610789999999999833e-01 -8.268809999999999771e-01
1.000000000000000000e+02 0.000000000000000000e+00 1.803130000000000011e-01 8.634680000000000133e-01 4.710739999999999927e-01
1.000000000000000000e+02 0.000000000000000000e+00 -8.634519999999999973e-01 -5.036490000000000133e-01 2.807700000000000126e-02
1.000000000000000000e+02 0.000000000000000000e+00 -6.552449999999999664e-01 4.933980000000000032e-01 5.720250000000000057e-01
0.000000000000000000e+00 5.000000000000000000e+01 -4.104189999999999783e-01 -7.515920000000000378e-01 -5.163969999999999949e-01
0.000000000000000000e+00 5.000000000000000000e+01 -7.546540000000000470e-01 2.765219999999999900e-01 -5.950069999999999526e-01
0.000000000000000000e+00 5.000000000000000000e+01 6.594210000000000349e-01 1.192819999999999991e-01 -7.422499999999999654e-01
0.000000000000000000e+00 5.000000000000000000e+01 -5.797399999999999776e-02 5.660460000000000491e-01 -8.223319999999999519e-01
0.000000000000000000e+00 5.000000000000000000e+01 9.865209999999999813e-01 1.599569999999999881e-01 3.449300000000000282e-02
0.000000000000000000e+00 5.000000000000000000e+01 6.640230000000000299e-01 -6.069740000000000135e-01 -4.366419999999999746e-01
0.000000000000000000e+00 5.000000000000000000e+01 -5.311770000000000103e-01 -8.062780000000000502e-01 2.603199999999999958e-01
0.000000000000000000e+00 5.000000000000000000e+01 5.829199999999999660e-02 2.660739999999999772e-01 9.621889999999999610e-01
0.000000000000000000e+00 5.000000000000000000e+01 2.857239999999999780e-01 -9.522610000000000241e-01 1.075249999999999956e-01
8.000000000000000000e+02 0.000000000000000000e+00 -4.104189999999999783e-01 -7.515920000000000378e-01 -5.163969999999999949e-01
8.000000000000000000e+02 0.000000000000000000e+00 -7.546540000000000470e-01 2.765219999999999900e-01 -5.950069999999999526e-01
8.000000000000000000e+02 0.000000000000000000e+00 6.594210000000000349e-01 1.192819999999999991e-01 -7.422499999999999654e-01
8.000000000000000000e+02 0.000000000000000000e+00 -5.797399999999999776e-02 5.660460000000000491e-01 -8.223319999999999519e-01
8.000000000000000000e+02 0.000000000000000000e+00 9.865209999999999813e-01 1.599569999999999881e-01 3.449300000000000282e-02
8.000000000000000000e+02 0.000000000000000000e+00 6.640230000000000299e-01 -6.069740000000000135e-01 -4.366419999999999746e-01
8.000000000000000000e+02 0.000000000000000000e+00 -5.311770000000000103e-01 -8.062780000000000502e-01 2.603199999999999958e-01
8.000000000000000000e+02 0.000000000000000000e+00 5.829199999999999660e-02 2.660739999999999772e-01 9.621889999999999610e-01
8.000000000000000000e+02 0.000000000000000000e+00 2.857239999999999780e-01 -9.522610000000000241e-01 1.075249999999999956e-01
0.000000000000000000e+00 4.000000000000000000e+02 9.390669999999999851e-01 -3.292590000000000239e-01 9.869999999999999607e-02
0.000000000000000000e+00 4.000000000000000000e+02 -1.482539999999999969e-01 9.183959999999999901e-01 -3.668370000000000242e-01
0.000000000000000000e+00 4.000000000000000000e+02 9.232219999999999871e-01 3.603529999999999789e-01 1.334430000000000061e-01
0.000000000000000000e+00 4.000000000000000000e+02 5.004030000000000422e-01 -8.436259999999999870e-01 -1.946569999999999967e-01
0.000000000000000000e+00 4.000000000000000000e+02 -7.243669999999999831e-01 -6.542379999999999862e-01 -2.174049999999999871e-01
0.000000000000000000e+00 4.000000000000000000e+02 -3.556989999999999874e-01 -2.448660000000000003e-01 9.019530000000000047e-01
0.000000000000000000e+00 4.000000000000000000e+02 -9.584399999999999586e-01 -3.800900000000000112e-02 -2.827500000000000013e-01
0.000000000000000000e+00 4.000000000000000000e+02 -1.507320000000000049e-01 9.225780000000000092e-01 3.551480000000000192e-01
0.000000000000000000e+00 4.000000000000000000e+02 5.312670000000000448e-01 2.719799999999999995e-01 8.023609999999999909e-01
0.000000000000000000e+00 4.000000000000000000e+02 -7.455319999999999725e-01 -4.472889999999999922e-01 4.940800000000000192e-01
0.000000000000000000e+00 4.000000000000000000e+02 -3.054160000000000208e-01 5.210999999999999660e-02 -9.507919999999999705e-01
0.000000000000000000e+00 4.000000000000000000e+02 -5.970389999999999864e-01 1.428310000000000135e-01 -7.893949999999999578e-01
0.000000000000000000e+00 4.000000000000000000e+02 8.496120000000000339e-01 -2.622970000000000024e-01 4.575589999999999935e-01
0.000000000000000000e+00 4.000000000000000000e+02 -2.232169999999999987e-01 -5.735460000000000003e-01 -7.881749999999999590e-01
0.000000000000000000e+00 4.000000000000000000e+02 9.237319999999999975e-01 3.159899999999999931e-01 -2.164939999999999920e-01
0.000000000000000000e+00 4.000000000000000000e+02 -4.170150000000000245e-01 7.421710000000000251e-01 5.246720000000000272e-01
0.000000000000000000e+00 4.000000000000000000e+02 5.036680000000000046e-01 -8.495559999999999778e-01 1.567560000000000064e-01
0.000000000000000000e+00 4.000000000000000000e+02 -4.459589999999999943e-01 -8.323059999999999903e-01 -3.292209999999999859e-01
0.000000000000000000e+00 4.000000000000000000e+02 -4.507030000000000203e-01 7.434229999999999450e-01 -4.941559999999999842e-01
0.000000000000000000e+00 4.000000000000000000e+02 1.566079999999999972e-01 9.762969999999999704e-01 1.493929999999999980e-01
